ts_code,name,industry,industry_l1,industry_l2,area,close,pct_chg,pe,pb,total_mv,revenue,gross_profit,gpr,net_profit,npm,list_date,ytd_2024,ytd_2025,ytd_2026
000830.SZ,鲁西化工,化学原料,基础化工,化学原料,山东,15.72,-0.69,-5.13,-7.69,299.31,291.43,31.97,10.97,9.07,3.12,1998-08-07,41.71,20.68,-18.12
002138.SZ,顺络电子,元件,电子,元件,深圳,37.09,1.23,6.77,5.04,298.95,67.45,24.71,36.64,10.21,16.91,2007-06-13,85.73,60.62,30.37
600598.SH,北大荒,种植业,农林牧渔,种植业,黑龙江,16.81,1.2,12.44,5.92,298.88,52.29,18.07,34.56,11.66,22.32,2002-03-29,39.01,11.1,1.6
003035.SZ,南网能源,电力,公用事业,电力,广东,7.89,2.07,72.27,-2.35,298.87,36.78,14.1,38.34,3.46,11.33,2021-01-19,42.26,83.47,61.21
301606.SZ,绿联科技,消费电子,电子,消费电子,深圳,72.0,-4.0,22.57,-2.83,298.8,94.91,35.12,37.01,7.05,7.41,2024-07-26,61.86,101.3,18.62
002608.SZ,江苏国信,电力,公用事业,电力,江苏,7.9,1.15,6.90,3.13,298.46,355.31,47.18,13.63,34.65,13.71,2011-08-10,52.41,38.25,36.02
000791.SZ,甘肃能源,电力,公用事业,电力,甘肃,9.2,5.75,42.64,11.79,298.45,90.65,37.76,41.65,20.51,32.92,1997-10-14,86.63,77.35,53.83
601001.SH,晋控煤业,煤炭开采,煤炭,煤炭开采,山西,17.81,-1.93,35.44,-6.71,298.14,131.09,55.28,42.17,18.31,18.71,2006-06-23,77.9,60.0,50.52
000415.SZ,渤海租赁,多元金融,非银金融,多元金融,新疆,4.81,0.84,18.77,0.00,297.5,529.24,160.38,30.3,,1.95,1996-07-16,91.98,13.06,0.25
301486.SZ,致尚科技,消费电子,电子,消费电子,深圳,229.29,-4.06,84.84,13.03,295.78,9.98,2.66,26.63,0.94,10.98,2023-07-07,382.81,381.8,75.36
600862.SH,中航高科,航空装备Ⅱ,国防军工,航空装备Ⅱ,江苏,21.23,3.46,-10.16,7.82,295.73,50.08,18.83,37.6,10.31,20.63,1994-05-20,-17.65,-23.84,-28.04
300699.SZ,光威复材,航空装备Ⅱ,国防军工,航空装备Ⅱ,山东,35.53,1.63,-9.96,9.80,295.25,28.6,11.38,39.8,6.03,20.96,2017-09-01,13.53,-7.85,-24.2
002266.SZ,浙富控股,环境治理,环保,环境治理,浙江,5.65,0.36,35.82,18.70,294.87,232.14,28.26,12.17,11.18,5.08,2008-08-06,50.85,69.51,21.29
600577.SH,精达股份,电网设备,电力设备,电网设备,安徽,13.7,0.96,10.22,12.11,294.69,246.74,14.16,5.74,5.99,2.52,2002-09-11,225.91,79.46,-4.12
603596.SH,伯特利,汽车零部件,汽车,汽车零部件,安徽,48.41,1.92,-5.58,8.57,293.85,120.14,23.6,19.65,13.09,10.99,2018-04-27,,,
600312.SH,平高电气,电网设备,电力设备,电网设备,河南,21.62,-2.66,24.61,0.42,293.38,125.17,29.94,23.92,11.2,9.82,2001-02-21,77.5,19.5,18.51
600100.SH,同方股份,计算机设备,计算机,计算机设备,北京,8.73,5.31,-2.13,3.31,292.46,150.65,40.3,26.75,4.95,1.93,1997-06-27,10.33,18.32,-11.2
002430.SZ,杭氧股份,化学制品,基础化工,化学制品,浙江,29.86,-0.57,-0.03,-10.06,292.03,150.83,31.68,21.0,9.49,7.06,2010-06-10,-9.36,21.72,-18.69
002153.SZ,石基信息,软件开发,计算机,软件开发,北京,10.7,3.58,-1.20,9.07,292.0,27.9,10.09,36.17,,,2007-08-13,-10.07,25.44,-25.02
688018.SH,乐鑫科技,半导体,电子,半导体,上海,174.78,-2.62,2.81,4.65,291.88,25.65,11.96,46.63,4.98,19.48,2019-07-22,217.51,6.39,-7.58
002318.SZ,久立特材,特钢Ⅱ,钢铁,特钢Ⅱ,浙江,29.83,-0.23,3.04,3.25,291.44,120.59,29.73,24.66,15.09,12.68,2009-12-11,31.71,12.03,-15.84
